hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reserved_room_type,assigned_room_type
Resort Hotel,0,40,2016,October,45,31,1,2,2,0.0,0,A,D
City Hotel,1,286,2016,May,20,11,0,4,2,0.0,0,A,A
City Hotel,1,86,2016,January,4,22,0,1,2,0.0,0,A,A
City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,A,A
City Hotel,1,64,2015,October,44,30,0,2,2,0.0,0,A,A
City Hotel,1,83,2017,August,33,14,1,2,2,1.0,0,A,A
City Hotel,0,4,2017,June,22,2,0,2,2,1.0,0,A,A
City Hotel,0,5,2016,August,36,28,2,3,2,0.0,0,D,D
City Hotel,0,49,2016,May,20,10,0,2,2,0.0,0,A,D
Resort Hotel,0,68,2017,May,18,2,0,3,2,0.0,1,A,C
City Hotel,1,35,2017,February,8,25,2,2,3,0.0,0,D,D
Resort Hotel,0,75,2015,July,31,30,2,7,2,0.0,0,D,D
City Hotel,1,20,2017,July,30,25,0,2,2,0.0,0,A,A
City Hotel,0,14,2015,September,37,8,0,3,2,0.0,0,A,A
City Hotel,0,52,2017,January,1,6,0,1,2,0.0,0,A,A
City Hotel,0,180,2017,May,21,25,0,3,2,0.0,0,A,A
City Hotel,1,257,2017,August,32,7,1,4,2,0.0,0,A,A
City Hotel,0,316,2016,May,22,26,0,3,2,0.0,0,A,A
City Hotel,1,323,2015,September,36,5,1,1,2,0.0,0,A,A
City Hotel,0,8,2017,March,11,15,0,1,1,0.0,0,A,F
City Hotel,0,20,2017,June,23,8,0,1,1,0.0,0,A,A
Resort Hotel,0,14,2016,January,4,23,2,5,2,0.0,0,H,H
City Hotel,0,164,2015,October,40,2,0,2,1,0.0,0,A,D
City Hotel,0,79,2017,March,12,25,0,1,2,0.0,0,D,D
City Hotel,0,81,2016,May,23,30,1,0,1,0.0,0,A,A
City Hotel,0,84,2015,November,48,27,1,2,1,0.0,0,A,A
Resort Hotel,1,189,2016,April,18,26,0,2,2,0.0,0,A,A
City Hotel,0,20,2017,January,5,31,0,4,2,0.0,0,D,D
City Hotel,1,82,2017,April,14,6,0,3,2,0.0,0,D,D
City Hotel,0,5,2015,September,37,9,0,2,1,0.0,0,A,A
City Hotel,1,28,2017,January,1,7,6,16,2,0.0,0,D,D
City Hotel,1,327,2015,September,37,9,0,2,2,0.0,0,A,A
City Hotel,0,100,2016,April,17,18,1,1,1,0.0,0,A,A
City Hotel,0,31,2016,November,47,13,2,2,1,0.0,0,A,A
City Hotel,0,8,2016,April,16,14,0,3,2,0.0,0,A,A
Resort Hotel,0,37,2015,November,48,23,1,4,3,0.0,0,A,A
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,A,A
Resort Hotel,0,386,2016,October,43,20,1,3,2,0.0,0,A,A
Resort Hotel,0,34,2016,October,44,27,0,0,2,0.0,0,A,I
City Hotel,1,36,2016,January,4,19,0,2,1,0.0,0,A,A
City Hotel,1,267,2015,July,28,11,2,1,2,0.0,0,A,A
City Hotel,1,87,2015,September,39,25,2,3,2,0.0,0,A,A
Resort Hotel,1,47,2015,August,36,30,2,5,1,0.0,0,A,A
City Hotel,0,192,2016,June,26,24,0,2,1,0.0,0,A,A
City Hotel,0,29,2016,July,31,28,0,1,2,0.0,0,A,A
City Hotel,1,94,2017,February,5,3,0,2,2,0.0,0,A,A
City Hotel,0,0,2016,March,13,23,0,2,2,1.0,0,A,E
City Hotel,0,195,2016,June,27,30,0,2,2,0.0,0,D,D
City Hotel,0,6,2016,July,28,3,2,2,1,0.0,0,D,D
City Hotel,0,65,2016,December,52,21,0,4,3,0.0,0,A,D
City Hotel,0,37,2016,November,46,9,0,4,2,0.0,0,A,A
City Hotel,1,461,2016,October,42,13,0,1,1,0.0,0,A,A
City Hotel,0,176,2016,September,37,8,0,0,1,0.0,0,A,A
Resort Hotel,0,5,2017,January,4,26,0,2,2,0.0,0,A,D
City Hotel,1,39,2015,August,33,14,0,2,2,0.0,0,A,A
City Hotel,0,59,2016,July,31,24,2,2,2,0.0,0,A,A
Resort Hotel,0,88,2015,October,44,25,2,5,2,1.0,0,D,D
City Hotel,0,32,2015,November,47,20,0,2,1,0.0,0,A,D
Resort Hotel,0,223,2016,May,22,24,1,5,2,0.0,0,A,E
Resort Hotel,0,182,2017,July,28,12,0,0,2,0.0,0,D,D
City Hotel,1,135,2017,April,17,23,2,0,2,0.0,0,A,A
Resort Hotel,0,10,2016,December,51,15,0,3,2,0.0,0,A,A
Resort Hotel,0,33,2016,November,47,15,0,4,1,0.0,0,A,A
City Hotel,0,62,2016,September,37,5,1,2,2,0.0,0,D,B
Resort Hotel,1,295,2017,August,33,14,2,5,3,1.0,0,H,H
City Hotel,0,34,2017,March,11,12,2,2,2,0.0,0,A,A
Resort Hotel,0,227,2016,August,36,28,4,10,2,0.0,0,D,D
Resort Hotel,0,29,2015,July,31,28,0,4,2,0.0,0,A,A
Resort Hotel,1,3,2016,April,18,30,0,1,2,0.0,0,E,F
City Hotel,0,39,2016,November,46,11,2,3,1,0.0,0,A,A
City Hotel,1,73,2017,April,14,3,1,3,2,0.0,0,A,A
City Hotel,1,101,2016,June,27,27,1,5,1,0.0,0,A,A
City Hotel,0,52,2017,July,29,21,2,5,1,0.0,0,A,A
City Hotel,1,25,2015,December,50,8,0,2,1,0.0,0,A,A
City Hotel,0,34,2016,January,5,24,1,0,1,0.0,0,A,A
City Hotel,0,8,2017,March,11,15,0,1,1,0.0,0,A,B
City Hotel,0,3,2016,October,45,31,1,1,1,0.0,0,A,A
Resort Hotel,0,9,2016,August,32,2,0,2,2,0.0,0,A,A
Resort Hotel,0,3,2017,January,4,23,1,0,1,0.0,0,A,A
City Hotel,0,57,2016,November,48,22,0,1,2,0.0,0,A,A
City Hotel,0,423,2017,June,24,14,0,3,2,0.0,0,A,A
City Hotel,1,145,2017,April,15,14,2,5,2,0.0,0,D,D
City Hotel,1,57,2015,December,53,29,2,6,2,0.0,0,D,D
City Hotel,0,17,2017,May,21,21,2,2,2,0.0,0,A,A
City Hotel,0,1,2017,April,17,25,0,2,2,0.0,0,A,B
City Hotel,0,32,2015,November,47,20,0,2,1,0.0,0,A,A
Resort Hotel,0,17,2017,April,15,12,0,1,2,0.0,0,D,D
City Hotel,1,115,2017,January,3,20,0,2,2,0.0,0,A,A
Resort Hotel,0,1,2017,February,7,14,0,1,1,0.0,0,A,D
City Hotel,1,102,2017,May,20,20,2,3,1,0.0,0,A,A
Resort Hotel,0,90,2016,June,24,9,2,5,2,0.0,0,D,D
Resort Hotel,1,158,2015,July,28,11,2,3,2,0.0,0,A,A
Resort Hotel,0,0,2017,February,5,1,0,1,2,0.0,0,A,D
Resort Hotel,0,14,2016,August,34,18,2,4,2,1.0,0,E,E
Resort Hotel,1,245,2015,September,39,25,0,1,2,0.0,0,A,A
Resort Hotel,0,11,2015,December,49,5,2,1,2,0.0,0,A,A
Resort Hotel,0,286,2015,October,42,14,1,4,2,0.0,0,A,A
City Hotel,0,36,2015,October,42,13,0,3,2,0.0,0,A,B
City Hotel,1,4,2017,January,4,28,0,1,2,1.0,0,D,D
City Hotel,1,313,2016,August,34,18,2,5,2,0.0,0,A,A
Resort Hotel,0,45,2016,May,20,8,2,0,2,0.0,0,A,A
City Hotel,1,157,2017,May,18,1,1,3,2,0.0,0,A,A
City Hotel,0,220,2016,June,23,4,2,1,2,0.0,0,A,A
City Hotel,0,274,2016,August,33,9,0,3,2,0.0,0,A,A
City Hotel,0,73,2015,November,48,24,0,3,1,0.0,0,A,A
City Hotel,0,37,2015,September,38,16,0,2,1,0.0,0,A,A
City Hotel,0,29,2017,April,15,10,1,3,2,0.0,0,A,A
Resort Hotel,0,3,2016,April,17,17,4,8,2,0.0,0,G,G
Resort Hotel,0,55,2016,April,17,17,2,3,2,0.0,0,A,A
Resort Hotel,0,158,2016,July,31,30,2,5,2,0.0,0,E,E
Resort Hotel,1,259,2015,September,38,17,0,3,2,0.0,0,A,A
Resort Hotel,0,71,2016,May,21,18,2,5,2,1.0,0,E,E
City Hotel,1,195,2017,February,8,24,0,1,2,0.0,0,A,A
City Hotel,1,351,2015,October,40,3,2,2,2,0.0,0,A,A
City Hotel,0,457,2017,August,34,25,0,2,1,0.0,0,A,A
Resort Hotel,0,0,2017,August,32,6,1,0,1,0.0,0,D,D
City Hotel,0,24,2017,February,6,5,2,5,1,0.0,0,A,A
Resort Hotel,0,65,2015,August,32,7,2,7,2,0.0,0,A,A
City Hotel,0,171,2016,December,53,31,2,2,2,0.0,0,A,A
City Hotel,0,25,2016,August,35,22,1,2,2,0.0,0,A,A
City Hotel,1,14,2016,May,23,30,1,0,2,0.0,0,A,A
City Hotel,1,281,2015,July,30,25,2,2,2,0.0,0,A,A
Resort Hotel,1,267,2017,April,15,14,2,5,2,0.0,0,A,A
City Hotel,0,97,2016,May,22,24,0,3,2,0.0,0,D,D
Resort Hotel,0,364,2016,October,42,12,0,4,1,0.0,0,A,A
City Hotel,1,65,2015,September,37,12,2,1,2,0.0,0,A,A
City Hotel,0,36,2016,October,41,3,1,1,2,0.0,0,D,D
City Hotel,0,21,2016,March,10,1,0,2,2,0.0,0,A,D
City Hotel,1,100,2016,December,53,26,1,4,2,0.0,0,A,A
Resort Hotel,0,0,2016,April,15,4,1,0,2,0.0,0,A,A
City Hotel,0,15,2016,February,8,19,0,1,1,0.0,0,A,A
City Hotel,0,0,2016,October,42,12,0,2,2,0.0,0,D,A
City Hotel,0,0,2015,October,42,12,1,0,2,0.0,0,A,A
City Hotel,1,67,2017,February,7,12,2,0,2,0.0,0,A,A
Resort Hotel,0,326,2017,June,25,24,2,2,2,0.0,0,D,D
City Hotel,0,462,2017,July,26,1,2,2,2,0.0,0,A,A
City Hotel,1,22,2016,November,47,17,0,3,3,0.0,0,D,D
City Hotel,1,17,2016,May,20,12,4,11,1,0.0,0,E,E
City Hotel,0,2,2017,February,6,5,2,2,2,0.0,0,A,A
City Hotel,1,75,2017,January,1,2,1,4,1,0.0,0,D,D
Resort Hotel,1,34,2016,May,22,23,1,1,2,0.0,0,E,E
City Hotel,1,99,2017,April,15,15,2,4,1,0.0,0,A,A
Resort Hotel,0,6,2015,December,52,26,0,1,2,2.0,0,C,C
City Hotel,0,31,2017,April,16,21,2,3,2,0.0,0,A,A
Resort Hotel,0,58,2017,April,16,16,2,5,2,0.0,0,A,C
City Hotel,1,311,2015,August,35,24,1,1,2,0.0,0,A,A
City Hotel,0,122,2016,June,25,16,0,3,2,0.0,0,A,A
City Hotel,0,84,2016,March,14,30,1,4,2,0.0,0,A,A
Resort Hotel,1,100,2016,July,30,18,1,4,2,0.0,0,E,E
City Hotel,0,0,2016,May,20,9,1,0,2,0.0,0,A,A
City Hotel,0,1,2017,June,26,28,0,1,2,2.0,0,E,E
City Hotel,0,4,2016,April,17,18,1,0,1,0.0,0,A,A
City Hotel,0,49,2016,June,25,17,2,3,2,0.0,0,A,A
City Hotel,0,3,2015,September,38,19,1,1,1,0.0,0,A,A
City Hotel,0,316,2016,May,22,26,0,3,2,0.0,0,A,A
Resort Hotel,1,38,2016,April,16,11,1,4,1,0.0,0,A,A
City Hotel,0,79,2015,October,41,10,1,1,2,0.0,0,A,D
City Hotel,1,56,2017,February,5,1,0,3,2,0.0,0,A,A
Resort Hotel,1,183,2015,July,28,6,2,5,1,0.0,0,A,A
Resort Hotel,0,40,2016,March,13,23,0,4,2,0.0,0,D,D
Resort Hotel,0,112,2016,May,21,19,2,5,2,0.0,0,A,A
City Hotel,1,42,2016,November,49,29,0,3,1,0.0,0,A,A
Resort Hotel,0,95,2016,April,15,9,2,4,2,0.0,0,A,A
City Hotel,1,62,2017,April,14,8,2,1,2,0.0,0,D,D
City Hotel,0,105,2016,June,24,11,1,1,2,0.0,0,A,D
Resort Hotel,0,243,2016,July,27,2,4,10,2,0.0,0,A,A
Resort Hotel,0,231,2017,May,19,9,0,4,2,0.0,0,E,F
City Hotel,1,89,2016,March,13,24,0,3,2,0.0,0,A,A
City Hotel,1,21,2017,January,5,30,1,3,3,0.0,0,D,D
Resort Hotel,1,7,2016,January,3,16,2,5,2,0.0,0,D,D
City Hotel,0,54,2017,January,3,18,2,4,2,0.0,0,A,A
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,A,A
City Hotel,0,55,2017,January,3,18,2,4,2,0.0,0,A,A
City Hotel,0,102,2015,October,42,16,0,2,1,0.0,0,A,D
City Hotel,0,43,2015,December,52,26,2,2,2,0.0,0,A,D
Resort Hotel,0,186,2017,August,32,12,4,7,2,0.0,0,A,A
City Hotel,0,23,2016,September,38,11,2,0,2,0.0,0,A,A
Resort Hotel,1,70,2017,June,24,12,1,3,2,0.0,0,E,E
City Hotel,0,208,2017,May,21,24,0,2,1,0.0,0,A,A
City Hotel,0,16,2015,September,37,7,1,3,2,0.0,0,A,A
City Hotel,1,37,2016,October,42,13,0,3,1,0.0,0,A,A
City Hotel,0,126,2017,July,30,27,0,2,2,0.0,0,D,D
Resort Hotel,0,14,2017,March,9,4,1,1,2,0.0,0,E,F
City Hotel,0,2,2017,July,28,15,0,1,2,0.0,0,A,A
City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,A,A
City Hotel,0,2,2016,April,17,20,0,2,2,0.0,0,A,A
Resort Hotel,0,5,2016,December,52,24,0,1,2,0.0,0,A,A
City Hotel,1,34,2017,April,15,14,0,2,3,0.0,0,E,E
City Hotel,0,116,2016,February,10,28,2,1,1,0.0,0,A,A
City Hotel,0,54,2016,August,36,29,1,4,2,0.0,0,A,A
Resort Hotel,0,230,2017,May,19,11,2,5,1,0.0,0,A,A
Resort Hotel,0,2,2015,October,42,11,1,0,2,0.0,0,A,A
Resort Hotel,0,352,2017,May,21,25,2,5,2,0.0,0,A,A
City Hotel,0,38,2017,April,15,15,2,1,2,0.0,0,A,A
Resort Hotel,0,0,2016,December,52,22,0,1,2,0.0,0,E,E
City Hotel,0,0,2016,December,50,5,1,0,2,0.0,0,A,A
Resort Hotel,1,199,2016,May,19,2,1,1,2,0.0,0,A,A
Resort Hotel,1,247,2015,October,41,9,1,2,2,0.0,0,A,A
Resort Hotel,0,274,2017,March,10,10,1,2,1,0.0,0,A,A
City Hotel,1,86,2016,May,22,26,0,2,2,0.0,0,D,D
Resort Hotel,0,48,2015,August,32,6,2,3,3,0.0,0,A,A
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,A,A
City Hotel,1,545,2017,January,1,5,0,2,2,0.0,0,A,A
Resort Hotel,0,0,2017,January,2,12,0,1,2,0.0,0,A,A
Resort Hotel,0,110,2015,September,38,17,1,3,1,0.0,0,A,A
City Hotel,0,395,2017,May,20,17,0,3,2,0.0,0,A,A
City Hotel,1,465,2017,July,27,4,0,1,2,0.0,0,A,A
City Hotel,1,451,2016,May,21,16,1,2,2,0.0,0,A,A
City Hotel,1,166,2016,November,46,12,2,4,2,0.0,0,A,A
City Hotel,0,6,2016,August,36,28,2,1,2,2.0,0,F,F
City Hotel,0,207,2016,July,30,20,1,4,2,0.0,0,A,A
Resort Hotel,1,9,2016,July,28,6,0,1,1,0.0,0,A,A
City Hotel,1,50,2015,October,43,24,0,1,2,0.0,0,A,A
City Hotel,1,393,2016,March,12,19,2,1,2,0.0,0,A,A
City Hotel,1,46,2016,November,48,25,1,2,2,0.0,0,A,A
City Hotel,1,87,2015,September,39,25,2,3,2,0.0,0,A,A
Resort Hotel,1,11,2016,May,22,27,1,2,2,2.0,0,G,G
City Hotel,1,279,2016,October,42,12,0,3,2,0.0,0,A,A
City Hotel,0,14,2015,September,38,15,0,3,1,0.0,0,A,A
Resort Hotel,0,209,2016,August,34,15,3,7,2,0.0,0,A,A
City Hotel,0,20,2015,July,30,22,0,2,2,0.0,0,A,D
City Hotel,0,19,2017,April,16,19,1,4,2,0.0,0,D,D
City Hotel,1,159,2016,October,40,1,2,3,2,1.0,0,A,A
City Hotel,0,265,2016,April,17,20,0,4,2,0.0,0,A,A
City Hotel,0,160,2015,December,53,30,0,3,2,0.0,0,A,A
Resort Hotel,0,90,2017,June,24,15,2,3,2,0.0,0,D,D
City Hotel,0,0,2017,February,5,4,0,1,2,0.0,0,A,A
Resort Hotel,1,59,2016,July,31,29,2,3,2,0.0,0,D,D
Resort Hotel,1,40,2017,January,3,16,1,2,1,0.0,0,A,A
Resort Hotel,0,79,2015,August,31,1,2,2,2,0.0,0,D,D
City Hotel,0,2,2016,January,5,27,0,1,1,0.0,0,A,E
Resort Hotel,0,231,2016,October,41,8,2,5,2,0.0,0,D,D
City Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,A,A
City Hotel,0,22,2016,November,49,27,1,0,2,0.0,0,A,A
Resort Hotel,0,199,2015,September,37,11,1,2,2,0.0,0,E,E
City Hotel,0,1,2015,December,51,19,0,1,2,0.0,0,B,B
Resort Hotel,0,110,2016,September,37,9,2,3,2,0.0,0,A,A
Resort Hotel,0,13,2017,August,33,14,3,8,1,0.0,0,D,D
City Hotel,0,70,2017,February,7,15,0,4,2,0.0,0,A,A
Resort Hotel,0,115,2016,April,18,30,2,5,2,0.0,0,D,D
City Hotel,0,2,2015,August,35,26,0,1,1,0.0,0,A,D
City Hotel,1,160,2017,July,31,31,3,6,3,0.0,0,D,D
City Hotel,0,40,2016,March,12,13,2,1,2,0.0,0,A,D
City Hotel,1,26,2017,April,17,28,1,2,2,0.0,0,A,A
City Hotel,1,304,2016,November,45,3,0,3,2,0.0,0,A,A
City Hotel,0,335,2016,October,42,13,0,3,1,0.0,0,A,A
Resort Hotel,1,303,2017,May,19,10,0,1,2,0.0,0,D,D
City Hotel,1,75,2016,December,49,2,2,2,2,0.0,0,A,A
City Hotel,0,70,2016,October,43,18,0,2,2,0.0,0,A,A
City Hotel,0,103,2015,July,29,18,2,1,2,0.0,0,A,A
City Hotel,0,51,2016,May,20,11,0,4,3,1.0,0,D,D
City Hotel,0,83,2016,October,45,31,1,4,2,1.0,0,A,A
City Hotel,0,29,2016,December,49,2,0,2,2,0.0,0,A,A
Resort Hotel,1,145,2017,July,29,16,2,2,2,0.0,0,E,E
Resort Hotel,1,117,2017,April,14,2,2,1,2,0.0,0,D,D
City Hotel,1,44,2016,February,8,17,0,3,2,0.0,0,A,A
City Hotel,0,263,2017,August,32,8,0,1,2,0.0,0,A,A
City Hotel,0,102,2017,May,19,8,1,3,2,0.0,0,A,A
Resort Hotel,1,53,2016,April,18,26,2,6,2,0.0,0,E,E
City Hotel,0,5,2016,May,20,10,0,1,1,0.0,0,A,A
City Hotel,1,99,2015,October,44,30,2,2,2,0.0,0,A,A
City Hotel,0,56,2015,September,38,17,0,2,2,0.0,0,A,D
City Hotel,1,14,2016,April,15,7,0,3,2,0.0,0,D,D
Resort Hotel,1,7,2016,November,48,23,0,1,1,0.0,0,A,D
City Hotel,1,66,2017,April,15,9,2,0,2,0.0,0,A,A
Resort Hotel,0,5,2016,October,44,29,1,1,2,0.0,0,A,A
City Hotel,1,219,2016,September,40,30,1,2,2,0.0,0,A,A
Resort Hotel,0,1,2015,November,48,26,2,5,2,0.0,0,D,D
Resort Hotel,1,73,2016,May,22,23,1,2,2,0.0,0,D,D
City Hotel,0,1,2015,December,53,31,0,1,2,0.0,0,A,A
City Hotel,0,2,2016,January,4,22,0,2,2,0.0,0,A,A
City Hotel,1,186,2017,May,22,30,0,2,2,0.0,0,A,A
City Hotel,0,4,2017,May,20,20,0,1,1,0.0,0,A,B
Resort Hotel,1,239,2017,June,22,1,4,10,2,0.0,0,D,D
City Hotel,0,219,2017,June,26,27,2,5,2,0.0,0,A,A
Resort Hotel,0,15,2016,December,52,24,2,3,2,1.0,0,D,D
Resort Hotel,0,31,2017,July,28,13,0,2,2,0.0,0,A,A
City Hotel,0,67,2017,May,19,13,2,2,2,0.0,0,A,A
City Hotel,0,0,2015,November,47,17,0,1,2,0.0,0,D,D
City Hotel,1,0,2016,December,51,14,0,1,1,0.0,0,A,A
City Hotel,0,24,2017,February,6,5,2,5,1,0.0,0,A,A
City Hotel,0,10,2016,December,51,15,0,1,1,0.0,0,A,A
City Hotel,0,144,2017,July,29,22,2,2,2,2.0,0,F,F
Resort Hotel,0,151,2015,August,32,2,4,6,2,0.0,0,D,D
Resort Hotel,0,210,2017,July,30,24,1,2,2,0.0,0,A,A
Resort Hotel,0,7,2016,November,47,16,0,1,1,0.0,0,A,A
City Hotel,0,81,2016,August,34,14,2,2,2,0.0,0,A,A
Resort Hotel,0,4,2015,December,51,19,0,1,3,0.0,0,A,D
Resort Hotel,1,386,2016,October,43,18,0,3,2,0.0,0,A,A
Resort Hotel,1,12,2015,December,52,26,0,1,2,0.0,0,D,D
Resort Hotel,1,259,2015,September,38,17,0,3,1,0.0,0,A,A
City Hotel,0,213,2016,October,40,1,2,2,2,0.0,0,A,A
City Hotel,0,48,2017,August,32,9,0,3,2,0.0,0,A,A
City Hotel,1,317,2016,September,38,15,0,2,2,0.0,0,A,A
City Hotel,0,59,2016,February,6,6,2,2,1,0.0,0,A,D
City Hotel,0,7,2016,February,9,26,0,2,3,0.0,0,D,D
City Hotel,0,10,2016,May,19,6,2,2,2,0.0,0,D,D
Resort Hotel,1,250,2015,September,37,9,2,5,2,0.0,0,A,A
City Hotel,1,47,2017,February,8,25,2,2,2,0.0,0,D,D
City Hotel,0,93,2016,July,29,12,0,2,2,0.0,0,A,A
Resort Hotel,0,132,2016,March,12,15,2,5,2,0.0,0,D,D
City Hotel,0,0,2017,March,12,25,1,1,2,0.0,0,A,B
Resort Hotel,0,76,2016,May,21,20,2,5,2,2.0,0,G,G
Resort Hotel,0,0,2015,December,52,26,0,1,2,0.0,0,A,D
City Hotel,0,145,2016,August,33,8,2,5,2,2.0,0,F,F
City Hotel,0,158,2017,March,13,27,1,1,2,0.0,0,A,A
City Hotel,0,153,2017,April,15,9,2,4,2,0.0,0,A,A
Resort Hotel,1,237,2017,May,21,21,2,4,2,0.0,0,D,D
City Hotel,1,248,2017,April,15,9,2,0,2,0.0,0,A,A
City Hotel,1,83,2016,November,48,21,1,1,2,1.0,0,A,A
Resort Hotel,0,63,2016,September,39,24,2,1,2,0.0,0,E,E
City Hotel,1,33,2015,December,50,9,0,2,2,0.0,0,A,A
City Hotel,1,10,2017,April,15,10,1,1,2,0.0,0,A,A
Resort Hotel,1,87,2017,May,20,19,0,2,2,2.0,0,G,G
City Hotel,1,1,2016,March,14,29,0,1,2,0.0,0,A,A
Resort Hotel,0,4,2016,July,31,28,0,3,2,1.0,0,D,D
Resort Hotel,0,81,2016,April,17,23,2,3,2,2.0,0,G,G
City Hotel,1,365,2016,July,28,7,0,2,2,0.0,0,A,A
Resort Hotel,0,0,2015,October,41,5,1,3,2,0.0,0,A,D
City Hotel,0,14,2015,September,40,30,0,2,1,0.0,0,A,A
Resort Hotel,0,116,2016,November,47,17,1,3,2,0.0,0,A,A
City Hotel,1,239,2016,June,25,15,0,2,1,0.0,0,A,A
City Hotel,0,0,2016,April,17,20,0,1,3,0.0,0,A,B
City Hotel,0,1,2016,August,35,24,0,1,2,0.0,1,A,A
Resort Hotel,0,94,2017,February,7,13,1,3,1,0.0,0,A,A
City Hotel,1,443,2016,April,18,29,0,1,2,0.0,0,A,A
Resort Hotel,0,273,2016,July,28,5,2,5,2,0.0,0,D,D
City Hotel,0,0,2015,October,42,15,0,1,1,0.0,0,D,D
Resort Hotel,0,9,2017,August,34,22,0,1,2,2.0,0,G,G
Resort Hotel,0,15,2016,July,30,17,2,4,3,0.0,0,A,C
Resort Hotel,0,383,2016,October,41,6,0,3,1,0.0,0,A,A
City Hotel,0,271,2015,July,29,15,0,2,2,0.0,0,A,A
Resort Hotel,0,205,2016,May,21,15,4,6,1,0.0,0,A,A
City Hotel,1,68,2016,February,8,17,0,2,2,0.0,0,A,A
City Hotel,1,39,2016,March,11,11,0,2,2,0.0,0,A,A
City Hotel,0,5,2016,March,12,19,2,1,2,0.0,0,A,A
City Hotel,0,137,2015,August,34,17,1,4,2,0.0,0,A,A
Resort Hotel,1,93,2015,December,51,19,0,1,2,0.0,0,A,A
City Hotel,0,275,2017,January,2,13,0,1,3,0.0,0,D,D
City Hotel,1,5,2015,September,37,10,0,2,2,0.0,0,A,A
City Hotel,0,1,2016,September,40,26,1,1,2,0.0,0,A,B
Resort Hotel,0,110,2017,July,28,11,2,5,2,0.0,0,D,D
Resort Hotel,1,3,2016,April,18,26,0,1,2,0.0,0,A,A
City Hotel,1,263,2015,September,39,21,1,0,2,0.0,0,A,A
Resort Hotel,0,205,2017,June,23,4,2,2,1,0.0,0,A,A
City Hotel,1,7,2016,April,18,26,0,1,2,0.0,0,A,A
City Hotel,1,9,2016,March,14,31,0,1,1,0.0,0,A,B
City Hotel,1,175,2017,May,20,19,0,1,1,0.0,0,A,A
Resort Hotel,0,181,2017,July,30,26,1,4,2,2.0,0,G,G
City Hotel,0,296,2016,September,39,21,0,4,2,0.0,0,A,A
City Hotel,0,4,2016,May,20,8,1,0,2,0.0,0,A,A
City Hotel,0,237,2015,September,38,14,1,2,2,0.0,0,A,A
Resort Hotel,1,29,2017,February,7,16,1,3,1,0.0,0,D,D
City Hotel,1,162,2017,May,18,6,2,1,1,0.0,0,A,A
City Hotel,0,13,2016,June,24,5,1,0,2,0.0,0,A,A
Resort Hotel,0,1,2016,December,51,16,0,2,2,0.0,1,G,G
City Hotel,0,66,2016,May,20,9,1,3,2,0.0,0,A,A
City Hotel,0,83,2016,March,13,20,2,4,2,0.0,0,A,A
Resort Hotel,0,0,2016,January,3,10,1,0,1,0.0,0,A,A
City Hotel,0,60,2016,April,18,25,1,3,3,0.0,0,D,D
Resort Hotel,0,27,2016,March,12,18,2,2,2,0.0,0,D,D
Resort Hotel,0,211,2016,May,20,14,1,1,1,0.0,0,A,A
Resort Hotel,0,4,2017,February,8,21,0,1,1,0.0,0,A,D
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,A,A
Resort Hotel,1,259,2017,June,25,24,2,3,2,0.0,0,F,F
City Hotel,1,162,2017,April,13,1,2,1,2,0.0,0,A,A
Resort Hotel,0,239,2016,June,24,7,2,7,2,0.0,0,E,E
City Hotel,0,143,2016,August,35,25,0,3,2,0.0,0,A,A
City Hotel,1,27,2017,March,9,2,0,3,1,0.0,0,A,A
City Hotel,0,34,2017,January,3,18,0,1,1,0.0,0,A,A
City Hotel,0,1,2016,July,30,21,0,1,2,0.0,0,A,A
City Hotel,1,507,2017,August,33,15,0,1,2,0.0,0,A,A
City Hotel,1,4,2016,April,14,1,0,2,2,0.0,0,A,A
City Hotel,1,141,2017,June,26,27,2,5,1,0.0,0,A,A
City Hotel,0,213,2016,September,40,27,0,4,1,0.0,0,A,A
Resort Hotel,0,26,2016,November,45,5,2,2,2,0.0,0,D,D
Resort Hotel,1,9,2017,March,13,30,0,2,1,0.0,0,A,A
Resort Hotel,0,27,2015,September,36,1,2,6,2,0.0,0,A,A
Resort Hotel,0,212,2017,August,31,3,2,5,3,0.0,0,D,D
City Hotel,1,0,2016,May,22,23,1,0,2,0.0,0,A,A
Resort Hotel,0,8,2016,March,12,17,2,4,1,0.0,0,A,A
City Hotel,1,221,2016,August,33,12,0,1,2,0.0,0,A,A
Resort Hotel,1,74,2016,August,35,26,2,3,3,1.0,0,H,H
Resort Hotel,1,159,2017,July,29,22,2,5,2,0.0,0,D,D
City Hotel,0,14,2016,February,7,8,1,0,2,0.0,0,A,A
City Hotel,1,420,2017,May,20,20,2,1,2,0.0,0,A,A
Resort Hotel,0,18,2015,July,30,24,0,2,2,0.0,0,D,G
City Hotel,1,280,2016,September,39,19,1,2,2,0.0,0,A,A
City Hotel,0,4,2015,November,47,16,1,0,1,0.0,0,A,A
